Trial number,Protocol code,Title of the trial,Overall trial status,Location(s) and recruitment status,Age group,Age range secondary identifier,Gender,Number of participants enrolled,Trial region,Medical conditions,Therapeutic area,Trial phase,Product,Primary endpoint,Secondary endpoints,Decision date,Start date,End date,Global end of the trial,Trial results,Sponsor/Co-Sponsors,Sponsor type,Last updated
2024-513193-22-00,N/A,"Efficacy, safety and cost-effectiveness of B cell tailored ocrelizumab versus standard ocrelizumab in relapsing remitting multiple sclerosis (BLOOMS):
a randomized controlled trial","Ongoing, recruiting","Netherlands:Ongoing, recruiting","18-64 years, 65+ years",N/A,"Female, Male",296,EEA only,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Phase III and phase IV (Integrated),Ocrevus 300 mg concentrate for solution for infusion,The two co-primary end points are the difference of percentage of  confirmed relapse-free patients between the two treatment groups after  96 weeks follow-up and the difference of percentage of patients without  new/enlarging T2 MRI lesions between the two treatment groups after  96 weeks follow-up.,N/A,17/09/2024,16/03/2022,N/A,N/A,No,Amsterdam UMC Stichting,Hospital/Clinic/Other health care facility,17/09/2024
2025-521127-73-00,TG1101-RMS-SC301,"A Phase 3, Non-Inferiority, Randomized, Open-Label, Parallel Group, Multicenter Study To Evaluate The Pharmacokinetics, Pharmacodynamics, Safety, Radiological and Clinical Effects Of Subcutaneous Ublituximab Versus Intravenous Ublituximab In Patients With Multiple Sclerosis","Authorised, recruiting","Croatia:Authorised, recruiting, Bulgaria:Authorised, recruitment pending, Czechia:Authorised, recruitment pending, Hungary:Authorised, recruiting",18-64 years,N/A,"Female, Male",84,In both EEA and non-EEA,Relapsing forms of Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Ublituximab, ublituximab",Commercially confidential information,"Proportion of participants with CD19+ B- cell (please ref to the protocol for the full information), Incidence of treatment emergent adverse events (TEAE)",19/08/2025,12/09/2025,N/A,N/A,No,Tg Therapeutics Inc.,Pharmaceutical company,21/08/2025
2023-505624-56-00,105MS306,"An Open Label, Randomized, Multicenter, Active-Controlled, Parallel-Group Study to Evaluate the Safety, Tolerability, and Efficacy of BIIB017 in Pediatric Subjects Aged 10 to Less than 18 Years for the Treatment of Relapsing Remitting Multiple Sclerosis, with Optional Open-Label Extension (105MS306)","Ongoing, recruitment ended","Slovakia:Ongoing, recruitment ended, Bulgaria:Ongoing, recruitment ended, Hungary:Ongoing, recruitment ended, Croatia:Ongoing, recruitment ended, Czechia:Ended",0-17 years,"6-11 years, 12-17 years","Female, Male",29,In both EEA and non-EEA,Relapsing Remitting Multiple Sclerosis (RRMS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Plegridy 125 micrograms solution for injection in pre-filled pen, AVONEX 30 micrograms/0.5ml solution for injection in pre-filled pen., Plegridy 63 micrograms+94 micrograms solution for injection in pre-filled pen, AVONEX 30 micrograms/0.5 ml solution for injection.","Part 1: the annualized relapse rate (ARR) at Week 48., Part 2: Percentage of Participants with Adverse Events (AEs), Serious Adverse Events (SAEs) and AEs leading to Study Treatment Discontinuation. [From Week 96 to week 196]","[Part I] ARR at week 48, [Part I]  Percentage of Participants Free of New or Newly Enlarging T2 Hyperintense Lesions on Brain Magnetic Resonance Imaging (MRI) Scans at Weeks 24, 48, and 96, [Part I] Percentage of Participants Free of New MRI Activity in the Brain (Free of Gadolinium [Gd]-Enhancing Lesions and New or Newly Enlarging T2 Hyperintense Lesions) at Weeks 24, 48, and 96, [Part I] Number of New or Newly Enlarging T2 Hyperintense Lesions on Brain MRI Scans at Weeks 24, 48, and 96, [Part I] Number of Gd-Enhancing Lesions on Brain MRI Scans at Weeks 24, 48, and 96, [Part I] Time to First Relapse (timeframe: Up to week 96)., [Part I] Percentage of Participants Free of Relapse at Weeks 48 and 96., [Part I] Change from Baseline in Cognition at Weeks 24, 48, 72, and 96 as Measured by the Symbol Digit Modality Test (SDMT), [Part I] Change from Baseline in the Expanded Disability Status Scale (EDSS) Score at Weeks 48 and 96, [Part I]  Change from Baseline in the Quality of Life as Measured by the Pediatric Quality of Life Inventory (PedsQL) at Weeks 24, 48, 72 and 96, [Part I] Area Under the Plasma Concentration-Time Curve from Time Zero to End of Dosing Interval (AUCtau) for BIIB017.  [Time Frame: Within 8 hours postdose on Day 1 of Week 1; Within 8 hours, 48 and 120 hours postdose on Day 1 of Week 4; Within 8 hours postdose on Day 1 of Week 24], [Part I] Part 1: Maximum Observed Plasma Concentration (Cmax) at Steady State for BIIB017 Within 8 hours postdose on Day 1 of Week 1; Within 8 hours, 48 and 120 hours postdose on Day 1 of Week 4; Within 8 hours postdose on Day 1 of Week 24, [Part I] Time to Reach Maximum Observed Plasma Concentration (Tmax) at Steady State for BIIB017 Within 8 hours postdose on Day 1 of Week 1; Within 8 hours, 48 and 120 hours postdose on Day 1 of Week 4; Within 8 hours postdose on Day 1 of Week 24, [Part I] Percentage of Participants With Adverse Events (AEs), Serious Adverse Events (SAEs), and AEs Leading to Study Treatment Discontinuation (timeframe up to week 100), [Part I] Change from Baseline in Height at Weeks 24, 48, 72, 96, and 100, [Part I] Change from Baseline in Weight at Weeks 24, 48, 72, 96, and 100, [Part I] Number of Participants With Binding and Neutralizing Antibodies to Interferon Beta Type 1a (IFN β-1a) [All Participants] [Time Frame: Up to Week 96], [Part I] Number of Participants With Binding Antibodies to Peginterferon (PEG) [BIIB017-Treated Participants] Anti-PEG binding antibodies in human serum will be determined using an ELISA (Timeframe: Up to Week 96), [Part I] Change from Baseline in Depression as Assessed by Mini International Neuropsychiatric Interview for Children and Adolescents (MINI-KID) at Weeks 12, 24, 36, 48, 60, 72, 84, 96, and 100, [Part I] Change from Baseline in Blood Pressure at Weeks 4, 8, 12, 24, 36, 48, 60, 72, 84, 96, and 10, [Part I] Change from Baseline in Pulse Rate at Weeks 4, 8, 12, 24, 36, 48, 60, 72, 84, 96, and 100, [Part I] Change from Baseline in Body Temperature at Weeks 4, 8, 12, 24, 36, 48, 60, 72, 84, 96, and 100, [Part I] Change from Baseline in Respiratory Rate at Weeks 4, 8, 12, 24, 36, 48, 60, 72, 84, 96, and 100, [Part I] Change from Baseline in 12-Lead Electrocardiogram (ECG) Parameters at Weeks 48, 96, and 100, [Part I] Percentage of Participants with Changes Over Time in Clinical Laboratory Values at Baseline & Weeks 4, 8, 12, 24, 36, 48, 60, 72, 84, 96, and 100, Part 2: ARR at Weeks 144 and 192, Part 2: Change from Baseline in EDSS Score at Weeks 120, 144, 168, 192, and 196, Part 2: Change from Baseline in Height at Weeks 120, 144, 168, 192, and 196, Part 2: Change from Baseline in Weight at Weeks 120, 144, 168, 192, and 196, Part 2: Change from Baseline in Tanner Score at Weeks 120, 144, 168, 192, and 196, Part 2: Number of Participants With Binding and Neutralizing Antibodies to IFN β-1a (All Participants) (Time Frame: Up to week 192), Part 2: Number of Participants With Binding Antibodies to PEG (BIIB017-Treated Participants) (Time Frame: Up to week 192), Part 2: Change from Baseline in Blood Pressure at Weeks 120,144,168, 192, and 196, Part 2: Change from Baseline in Pulse Rate at Weeks 120, 144, 168, 192, and 196, Part 2: Change from Baseline in Body Temperature at Weeks 120, 144, 168, 192, and 196, Part 2: Change from Baseline in Respiratory Rate at Weeks 120, 144, 168, 192, and 196, Part 2: Change from Baseline in 12-Lead ECG Parameters at Weeks 144, 192, and 196, Part 2: Change from Baseline in Depression as Assessed by Mini International Neuropsychiatric Interview for Children and Adolescents (MINI-KID) at Weeks 108, 120, 132, 144,156, 168, 180, 192, and 196, Part 2: Percentage of Participants with Changes Over Time in Clinical Laboratory Values at Baseline & (Week 96), Weeks 108, 120, 132, 144, 156, 168, 180, 192, and 196",04/11/2024,07/08/2019,N/A,N/A,No,Biogen Idec Research Limited,Pharmaceutical company,11/09/2025
2023-506543-41-00,MN39158,"A Single Arm, Open Label Multicentre Extension Study to Evaluate the Effectiveness and Safety of Ocrelizumab in Patients with Multiple Sclerosis Previously Enrolled in A F. Hoffmann-La Roche Sponsored Ocrelizumab Phase IIIb/IV Clinical Trial",Ended,"Hungary:Ended, Norway:Ended, Croatia:Ended, Denmark:Ended, Slovakia:Ended, Belgium:Ended, Netherlands:Ended, Sweden:Ended, Italy:Ended, Portugal:Ended, Slovenia:Ended, France:Ended, Poland:Ended, Bulgaria:Ended",18-64 years,N/A,"Female, Male",645,In both EEA and non-EEA,Multiple sclerosis (MS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Methylprednisolone 500 mg powder and solvent for solution for injection/infusion, Ocrevus 300 mg concentrate for solution for infusion, Paracetamol Accord 1000 mg comprimate efervescente, Ocrevus 300 mg concentrate for solution for infusion, Diphenhydramine Hydrochloride Tablets 50 mg",1. Evaluate clinical measures related to disease progression over the duration of treatment in MS patients,"1. Related to disability progression: Time to onset of Confirmed disability progression (CDP) sustained for at least 24 weeks and for at least 48 weeks, 2. Related to disability progression: Proportion of patients who have confirmed disability improvement (CDI), CDP for at least 24 weeks and for at least 48 weeks yearly and over the duration of treatment, 3. Related to disability progression: Proportion of patients who have improved, stable or worsened disability compared with baseline (inclusion in the study) measured by expanded disability status scale (EDSS), 4. Related to disability progression: Mean change from inclusion in the parent study in EDSS score over the course of treatment, 5. Related to disability progression: Time to 20% increase in timed 25-foot walk test (T25FWT); time to 20% increase in timed nine-hole peg test (9HPT) sustained for at least 24 weeks and for at least 48 weeks, and proportion of patients achieving a sustained increase assessed yearly and over the duration of treatment, 6. Other clinical measures and composite endpoints: Time to first protocol-defined event of disease activity, 7. Other clinical measures and composite endpoints: Time to first relapse, 8. Other clinical measures and composite endpoints: Annualized relapse rate, 9. Other clinical measures and composite endpoints: Proportion of patient relapse free, yearly and over the course of treatment, 10. Other clinical measures and composite endpoints: Proportion of patients with no evidence of protocol-defined disease activity (NEDA) yearly and over the duration of the treatment, 11. Other clinical measures and composite endpoints: Proportion of patients with no evidence of progression, measured by EDSS, 9HPT and T25FW (if assessments are available), 12. Other clinical measures and composite endpoints: Proportion of patients with no evidence of progression sustained for at least 24 weeks and no active disease (if assessments are available), 13. Other clinical measures and composite endpoints: Change from baseline (parent trial) in cognitive performance as measured by the Symbol digit modalities test (SDMT), 14. Related to MRI: Total number of T1 Gd-enhancing lesions as detected by brain MRI over time, 15. Related to MRI: Total number of new and/or enlarging T2 lesion as detected by brain MRI over time, 16. Related to MRI: Change in total T1 hypointense lesion volume over time, 17. Related to MRI: Total number of fluid-attenuated inversion-recovery (FLAIR) late enhancing lesions as detected by brain MRI over time (pertinent to CASTING/MA30005 patients only), 18. Related to MRI: Total number of FLAIR late enhancing lesions as detected by brain MRI at the end of the treatment period, 19. Related to MRI: Change in brain volume (including white and grey matter fractions) as detected by brain MRI over time, 20. Related to MRI: Presence and evolution of leptomeningeal follicles (pertinent to ENSEMBLE/MA30143 patients with identified FLAIR late enhancing lesions and CASTING /MA30005 patients), 21. Other measures related to MS disease:Time to treatment discontinuation/switch, 22. Patient reported outcomes (PROs):Employment status (Work Productivity and Activity Impairment Questionnaire [WPAI]), 23. Patient reported outcomes (PROs):SymptoMScreen score, 24. Patient reported outcomes (PROs):Quality of life (Multiple Sclerosis Impact Scale [MSIS]-29), 25. Rate and nature of adverse events, 26. Changes in vital signs, neurological examinations, clinical laboratory results, locally reviewed MRI for safety (non-MS CNS pathology) and concomitant medications",15/12/2023,25/07/2018,22/04/2025,17/07/2025,No,F. Hoffmann-La Roche AG,Pharmaceutical company,16/06/2025
2022-502609-14-00,GN41851,"A PHASE III MULTICENTER, RANDOMIZED, DOUBLE-BLIND, DOUBLE-DUMMY, PARALLEL-GROUP STUDY TO EVALUATE THE EFFICACY AND SAFETY OF FENEBRUTINIB COMPARED WITH TERIFLUNOMIDE IN ADULT PATIENTS WITH RELAPSING MULTIPLE SCLEROSIS","Ongoing, recruitment ended","Finland:Ongoing, recruitment ended, Portugal:Ongoing, recruitment ended, Hungary:Ongoing, recruitment ended, Italy:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended, Germany:Ongoing, recruitment ended, Spain:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",214,In both EEA and non-EEA,Relapsing multiple sclerosis (RMS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Fenebrutinib Placebo, Fenebrutinib, AUBAGIO 14 mg film-coated tablets, Fenebrutinib, Aubagio Placebo",1.Annualized relapse rate,"1. Time to onset of cCDP12, 2. Time to onset of CDP12, 3. Time to onset of cCDP24, 4. Time to onset of CDP24, 5. Total number of gadolinium-enhancing lesions on T1-weighted MRI lesions as detected by MRI, 6. Total number of new and/or enlarging T2-weighted lesions as detected by MRI, 7. Rate of percent change in total brain volume from Week 24 as assessed by MRI, 8. Rate of change from baseline in patient-reported physical impacts of MS, as measured by the Multiple Sclerosis Impact Scale (29-Item), Version 2 (MSIS-29 v2) physical scale, 9. Time to onset of 12-week confirmed 4-point worsening in SDMT score, 10. Change from baseline to Week 48 in the concentration of serum neurofilament light chain (NfL), 11. The nature, frequency, timing, and severity of adverse events; serious adverse events; and adverse events leading to study treatment discontinuation or dose interruptions, 12. Change from baseline in targeted vital signs, 13. Change from baseline in targeted ECG parameters, 14. Change from baseline in clinical laboratory results, 15. Proportion of patients with suicidal ideation or behavior, 16. Plasma concentration of fenebrutinib at specified timepoints",18/07/2024,09/12/2020,N/A,N/A,No,F. Hoffmann-La Roche AG,Pharmaceutical company,26/05/2025
2023-506516-40-00,WN42086,"A Phase III Multicenter, Randomized, Double-Blind, Double-Dummy Study to Evaluate Safety and Efficacy of Ocrelizumab in Comparison with Fingolimod in Children and Adolescents with Relapsing-Remitting Multiple Sclerosis","Ongoing, recruitment ended","Belgium:Ongoing, recruitment ended, Romania:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended, Portugal:Ongoing, recruitment ended, Netherlands:Ended, Denmark:Ended, Estonia:Ongoing, recruitment ended, Austria:Ongoing, recruitment ended, Croatia:Ended, Hungary:Ongoing, recruitment ended, Italy:Ongoing, recruitment ended, France:Ongoing, recruitment ended, Greece:Ongoing, recruitment ended, Bulgaria:Ended, Spain:Ongoing, recruitment ended, Latvia:Ongoing, recruitment ended, Germany:Ongoing, recruitment ended",0-17 years,N/A,"Female, Male",94,In both EEA and non-EEA,Relapsing-Remitting Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Ocrevus 300 mg concentrate for solution for infusion, Reisetabletten AL
Dimenhydrinat 50 mg pro Tablette, Gilenya 0.5 mg hard capsules, Gilenya 0.25 mg hard capsules, Placebo for FINGOLIMOD, Gilenya 0.25 mg hard capsules, Placebo for Ocrelizumab, Gilenya 0.25 mg hard capsules, Methylprednisolon acis 1000 mg Pulver und Lösungsmittel zur Herstellung einer Injektions- bzw. Infusionslösung, Methylprednisolon acis 250 mg Pulver und Lösungsmittel zur Herstellung einer Injektions- bzw. Infusionslösung",1. Protocol-defined annualized relapse rate (ARR) (non-inferiority),"1. Number of new or enlarging T2 lesions as detected by brain MRI during the double-blind period, 2. Number of T1 gadolinium (Gd) lesions at Week 12, 3. Protocol-defined ARR during the double-blind period (superiority), 4. Incidence and severity of adverse events, with severity determined according to National Cancer Institute Common Terminology Criteria for Adverse Events, Version 5.0 (NCI CTCAE v5.0), 5. Change from baseline in targeted vital signs and clinical significant abnormalities in electrocardiogram (ECG) parameters, 6. Change from baseline in targeted clinical laboratory test results, 7. Concentrations of ocrelizumab at indicated time points, 8. Levels of CD19 B-cell count in blood, 9. Prevalence of anti-drug antibodies (ADAs) against ocrelizumab at baseline, 10. Incidence of ADAs against ocrelizumab during the study",07/02/2024,11/02/2022,N/A,N/A,No,F. Hoffmann-La Roche AG,Pharmaceutical company,11/06/2025
2024-517601-82-00,M-2024-424,MB-CART2019.1 in refractory MS,"Authorised, recruitment pending","Germany:Authorised, recruitment pending","65+ years, 18-64 years",N/A,"Female, Male",25,EEA only,refractory Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Phase I and Phase II (Integrated)- Other,N/A,N/A,N/A,30/06/2025,N/A,N/A,N/A,No,Miltenyi Biomedicine GmbH,Pharmaceutical company,30/06/2025
2023-503190-38-00,MACSiMiSE-BRAIN_v1.0,Metformin add-on clinical study in multiple sclerosis to evaluate brain remyelination and neurodegeneration: a phase IIb triple-blind placebo-controlled randomized clinical trial (MACSiMiSE-BRAIN),"Ongoing, recruitment ended","Belgium:Ongoing, recruitment ended","65+ years, 18-64 years",N/A,"Female, Male",120,EEA only,Progressive Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"AVONEX 30 micrograms/0.5 ml solution for injection., Tecfidera 240 mg gastro-resistant hard capsules, Glatiramyl 40 mg/ml, oplossing voor injectie in een voorgevulde spuit, Zeposia 0.92 mg hard capsules, Glatiramyl 20 mg/ml oplossing voor injectie in een voorgevulde spuit, Mayzent 2 mg film-coated tablets, The placebo will be manufactured based on the Metformin Hydrochloride 850 mg (Metformin STADA® 850 mg) specifications to match the characteristics (appearance, size) of the IMP, without containing the active ingredient (see IMPD)., Ponvory 20 mg film-coated tablets, Rebif 22 micrograms solution for injection in pre-filled syringe, Gilenya 0.5 mg hard capsules, Kesimpta 20 mg solution for injection in pre-filled syringe, Mayzent 1 mg film-coated tablets, Copaxone 40 mg/ml oplossing voor injectie in een voorgevulde spuit., Plegridy 125 micrograms solution for injection in pre-filled syringe, Betaferon 250 microgram/ml, powder and solvent for solution for injection, Copaxone 20 mg/ml oplossing voor injectie in een voorgevulde spuit., TYSABRI 300 mg concentrate for solution for infusion, Ocrevus 300 mg concentrate for solution for infusion, Metformin STADA® 850 mg Filmtabletten, AUBAGIO 14 mg film-coated tablets","Change in walking speed, measured by T25FW, between baseline and 96 weeks of treatment.","Change in Expanded Disability Status Scale (EDSS) between baseline and after 96 weeks of treatment., Change in cognitive function as measured by Symbol Digit Modalities Test (SDMT) between baseline and 96 weeks of treatment., Change in hand function as measured by Nine-Hole Peg Test (9HPT) between baseline and 96 weeks of treatment., Change in the Compisite endpoint as measured by Overall Disability Response Score (ODRS) between baseline and 96 weeks of treatment., Change in 2 minute walk test between baseline and 96 weeks of treatment., Change in brain volume (whole brain volume and gray matter volume) as measured by MRI from baseline to 48 weeks, from baseline to 96 weeks and from 48 to 96 weeks., Change in brain MRI-DTI metrics (fractional anisotropy (FA), mean diffusivity (MD) and radial diffusivity (RD)) from baseline to 48 weeks, from baseline to 96 weeks and from 48 to 96 weeks, Change in quality of life as measured by EQ-5D-5L between baseline and 96 weeks of treatment., Change in quality of life as measured by Multiple Sclerosis Impact Scale-29 between baseline and 96 weeks of treatment., Change in number of SWI lesions from baseline to 48 weeks, from baseline to 96 weeks and from 48 to 96 weeks., Change in Modified Caregiver strain index (MCSI) from baseline to 96 weeks., Average total costs between baseline and 96 weeks of treatment and incremental cost-effectiveness ratio",24/04/2023,23/11/2023,N/A,N/A,No,Antwerp University Hospital,Hospital/Clinic/Other health care facility,26/08/2025
2025-521754-41-00,P1-IMU838–DDI-CYP2C8,"A Phase 1, Single-Center, Open-Label, Fixed-Sequence, 2-Part Adaptive Design Study to Assess the Pharmacokinetics of IMU-838 Administered Alone and in Combination with Multiple Doses of Gemfibrozil as CYP2C8 Inhibitor, or Rifampicin as CYP2C8 Inducer, in Healthy Subjects","Ongoing, recruiting","Netherlands:Ongoing, recruiting",18-64 years,N/A,"Female, Male",24,EEA only,Multiple sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Human Pharmacology (Phase I)-  Other,N/A,N/A,N/A,10/07/2025,15/08/2025,N/A,N/A,No,Immunic AG,Pharmaceutical company,10/07/2025
2023-509357-31-00,BP42230,"A Study to Investigate the Safety, Tolerability, Immunogenicity, Pharmacokinetics, and Pharmacodynamics of RO7121932 following Intravenous and Subcutaneous Administration in Participants with Multiple Sclerosis","Ongoing, recruiting","Germany:Ongoing, recruiting, Poland:Ongoing, recruiting, Romania:Ongoing, recruiting, Portugal:Ongoing, recruiting, Italy:Ongoing, recruiting, Belgium:Ongoing, recruiting, Spain:Authorised, recruitment pending","65+ years, 18-64 years",65-84 years,"Female, Male",47,In both EEA and non-EEA,Multiple Sclerosis (MS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Human Pharmacology (Phase I)- First administration to humans,N/A,N/A,N/A,15/03/2024,01/06/2021,N/A,N/A,No,F. Hoffmann-La Roche AG,Pharmaceutical company,18/08/2025
