NCTId,BriefTitle,OfficialTitle,OverallStatus,StartDate,PrimaryCompletionDate,CompletionDate,LastUpdatePostDate,StudyFirstPostDate,StudyType,Phase,EnrollmentCount,EnrollmentType,LeadSponsorName,LeadSponsorClass,Collaborators,CollaboratorClasses,Conditions,Keywords,LocationCountry,LocationCity,LocationState,TotalLocations,InterventionNames,InterventionTypes,PrimaryOutcomeMeasures,SecondaryOutcomeMeasures,HasResults,ResultsFirstPostDate
NCT04019912,The Novel Use of Treadmill Plus Music in MS Patients Gate Rehabilitation,A Randomized Trial on the Novel Use of Treadmill Plus Music in Multiple Sclerosis Patients With Gate Impairnent,UNKNOWN,2019-10-01,2020-03-30,2020-05,2020-02-21,2019-07-15,INTERVENTIONAL,NA,40.0,ESTIMATED,IRCCS Centro Neurolesi Bonino Pulejo,OTHER,,,Interventional Study,Gait rehabilitation|Rhythmic auditory stimulation|GaitTrainer3|Multiple sclerosis,Italy,Messina,Sicily,1,Gait Training plus music|Traditional Gait Training,OTHER|OTHER,Ten-metre walking test|Timed up-and-go test,Gait Quality Index|Multiple Sclerosis Quality of Life-54,False,
NCT04490044,Under and Over Rehabilitation Study,Under & Over: A Controlled Study to Develop an Upper Limb Rehabilitation Tool for People With Multiple Sclerosis.,COMPLETED,2020-09-01,2022-04-01,2022-05-01,2022-11-18,2020-07-28,INTERVENTIONAL,NA,120.0,ACTUAL,Queen Mary University of London,OTHER,Roche Pharma AG|Barts & The London NHS Trust,INDUSTRY|OTHER,Multiple Sclerosis,rehabilitation|design,United Kingdom,London,,1,Under & Over rehabilitation tool,OTHER,Change in Cardboard 9 Hole Peg Test speed at 6 months.,,False,
NCT01743651,Efficacy Study of Arbaclofen to Treat Spasticity in Multiple Sclerosis,"A Randomized, Double-Blind, Parallel Group Study to Compare the Safety and Efficacy Arbaclofen ER Tablets to Placebo and Baclofen Tablets, USP for the Treatment of Spasticity in Patients With Multiple Sclerosis",COMPLETED,2012-11,2014-04,2014-04,2022-04-25,2012-12-06,INTERVENTIONAL,PHASE3,353.0,ACTUAL,"RVL Pharmaceuticals, Inc.",INDUSTRY,Osmotica Pharmaceutical US LLC,INDUSTRY,Spasticity|Multiple Sclerosis,spasticity|multiple sclerosis|arbaclofen,United States,Cullman,Alabama,48,arbaclofen|baclofen|Placebo,DRUG|DRUG|DRUG,Efficacy as determined by Total Numeric Transformed Modified Ashworth scale (TNmAS) in the most affected limb.|Clinical Global Impression of Change (CGIC) through end of treatment,Changes in the Multiple Sclerosis Spasticity Scale (MSSS-88)|Changes in the TNmAS for the most affected limb|Changes in the TNmAS for the sum of all limbs|Changes in Expanded Disability Status Score (EDSS)|Changes in the Lower Extremity Manual Muscle Testing (LEMMT) Scale|Changes in Epworth Sleepiness Scale (ESS)|Changes in the subject-recorded mean daily Drowsiness Numerical Rating Scale (DNRS)score for the day prior to each visit|Changes in the Urinary Symptom Profile (USP) Scale|Clinical Global Impression of Change (CGIC),False,
NCT05962177,Montpellier PROspective Cohort in Relapsing Remitting Multiple Sclerosis Using Imaging and Serologic,Montpellier PROspective Cohort in Relapsing Remitting Multiple Sclerosis Using Imaging and Serologic,RECRUITING,2023-09-11,2030-06,2030-06,2025-09-16,2023-07-27,INTERVENTIONAL,NA,400.0,ESTIMATED,"University Hospital, Montpellier",OTHER,,,Multiple Sclerosis,Multiple sclerosis|MRI|Longitudinal cohort|Real life|Biomarkers,France,Montpellier,,1,Magnetic Resonance Imaging|Blood withdrawal|Neuropsychological tests,OTHER|OTHER|OTHER,Total brain atrophy,Quantitative analysis: analysis of FLAIR hypersignals number|Quantitative analysis: analysis of FLAIR hypersignals volume|Qualitative analysis: analysis of central vein lesions|Qualitative analysis: analysis of peripheral rim lesion|Quantitative analysis: measurement of mean diffusivity|Quantitative analysis: measurement of anisotropy fraction|Quantitative analysis: measurement of cerebral blood flow (CBF)|Changes in serum light chain neurofilament values|Clinical assessment scale: relapses|Clinical assessment scale: Expanded Disability Status Scale (EDSS)|Clinical assessment scale: Computerized Speed Cognitive Test (CSCT)|Clinical assessment scale: Six-Minute Walk Test (6MWT)|Clinical assessment scale: 9-Hole Peg Test (9-HPT)|Clinical assessment scale: Timed 25-Foot Walk (T25-FW)|Quality of life scale: The 5-level EQ-5D questionnaire (EQ5D-5L)|Quality of life scale: The Brief Pain Inventory (BPI)|Quality of life scale: DN4|Fatigue scale: Chalder Fatigue Scale|Fatigue scale: Modified Fatigue Impact Scale (MFIS)|Sleep scale: Epworth Sleepiness Scale (ESS)|Depression scale: Beck Depression Inventory (BID)|Anxiety scale: Generalized Anxiety Disorder 7-Item Scale (GAD-7)|Headaches scale: ef-ID Migraine|Exploratory criteria:Serum Glial Fibrillary Acidic Protein (GFAP)|Exploratory criteria: Pittsburgh Sleep Quality Index (PSQI) questionnaire|Exploratory criteria: Idiopathic Hypersomnia Severity Hypersomnia Scale (IHSS)|Exploratory criteria: RU SATED score|Exploratory criteria: Insomnia Severity Index (ISI)|Exploratory criteria: Headaches Impact Test (HIT-6)|Exploratory criteria: Godin Leisure-Time Exercise Questionnaire (GLTEQ),False,
NCT02913209,Quantitative Fatigue and Muscle Performance in Multiple Sclerosis,Quantitative Fatigue and Muscle Performance in Multiple Sclerosis,UNKNOWN,2016-04,2018-10,2020-12,2020-02-17,2016-09-23,OBSERVATIONAL,,30.0,ACTUAL,Washington D.C. Veterans Affairs Medical Center,FED,,,Multiple Sclerosis|Fatigue,,,,,0,,,Fatigue Index|Maximal Volitional Contraction,The Adult Myopathy Assessment Tool|25 foot walk Test|Chair Stand Test|Modified Fatigue Impact Scale|Multiple Sclerosis Quality of Life|Adult Fatigue Bank|Ultrasound caliper measure of rectus femoris thickness|Ultrasound image post-processing of rectus femoris grayscale,False,
NCT02290587,Study of Social Cognition by Morphological and Functional Imaging in Multiple Sclerosis Patients,Study of Social Cognition by Morphological and Functional Imaging in Multiple Sclerosis Patients,COMPLETED,2015-11,2017-03,2017-03,2017-04-04,2014-11-14,INTERVENTIONAL,NA,35.0,ACTUAL,"University Hospital, Bordeaux",OTHER,La Ligue Française Contre la Sclérose en Plaques,OTHER,Multiple Sclerosis,social cognitive|theory of mind|cognitive impairment|functional MRI|brain activation network,France,Bordeaux,,1,Brain MRI - Clinical and cognitive evaluation|MRI,OTHER|DEVICE,Brain activation networks during MRI,Reduction of volume of deep brain structures and reduction of cortical thickness|White matter skeleton on Fractional Anisotropy (FA) maps established by voxel-based.,False,
NCT01310166,Biomarker Study After Initiation of Treatment With Fingolimod (FTY720) in Patients With Relapsing-remitting Multiple Sclerosis,"A 6-month Multicenter, Single-arm, Open-label Study to Investigate Changes in Biomarkers After Initiation of Treatment With 0.5 mg Fingolimod (FTY720) in Patients With Relapsing-remitting Multiple Sclerosis",COMPLETED,2011-02,2012-07,2012-07,2016-11-18,2011-03-08,INTERVENTIONAL,PHASE4,447.0,ACTUAL,Novartis Pharmaceuticals,INDUSTRY,,,Relapsing-remitting Multiple Sclerosis,Multiple sclerosis|RRMS|relapsing-remitting|fingolimod|biomarkers,Germany,Ostfildern,Baden-Wurttemberg,61,Fingolimod,DRUG,Change from baseline of Cluster of Differentiation (CD)4+ naive T cells (C-C Chemokine Receptor Type 7+(CCR7+CD45RA+)|Change from baseline of CD8+ naïve T cells (CCR7+CD45RA+)|Change from baseline of CD4+ central memory T cells (CCR7+CD45RA-)|Change from baseline of CD8+ central memory T cells (CCR7+CD45RA-)|Change from baseline of CD8+ effector memory T-cells (CCR7-CD45RA-),Change from baseline of B-lymphocytes|Change from baseline of monocytes|Change from baseline of Natural Killer cells,False,
NCT00888277,Bayer/Cognitive Assessments With Multiple Sclerosis Subjects,Neuropsychological Assessments in the Multiple Sclerosis Clinic,COMPLETED,2009-05,2009-12,2010-01,2013-11-04,2009-04-27,OBSERVATIONAL,,74.0,ACTUAL,University of Louisville,OTHER,"Bayer Healthcare Pharmaceuticals, Inc./Bayer Schering Pharma",INDUSTRY,"Multiple Sclerosis, Relapsing-remitting|Multiple Sclerosis, Secondary Progressive",,United States,Louisville,Kentucky,1,,,SDMT correlation with the findings on the Neuropsychological Battery. The Neuropsychological Battery will confirm that the SDMT is sensitive and specific in identifying MS patients with cognitive findings.,SDMT association with the BDI. The SDMT will be independent of depression.|Overlap of Depression with Cognitive Dysfunction. There will still be identified a high percentage of patients having both cognitive and depressive symptoms.|Lack of association of Cognitive Dysfunction with the Physical Scales of the EDSS.,False,
NCT05090709,MS Spinal Mobilisation Study,Analysis of a Spinal Mobilisation Intervention in People With Multiple Sclerosis,COMPLETED,2018-10-01,2019-04-01,2019-04-01,2024-01-05,2021-10-25,INTERVENTIONAL,NA,20.0,ACTUAL,Edinburgh Napier University,OTHER,Scottish Hospital Endowments Research Trust|Pacla Medical Ltd,OTHER|INDUSTRY,Multiple Sclerosis,multiple sclerosis|myometer|muscle stiffness|spinal mobilisations|body sway|fatigue,United Kingdom,Edinburgh,County,1,Spinal Mobilisation Intervention|General Massage,OTHER|OTHER,Participant Muscle Stiffness Measure|Participant Muscle Stiffness Measure|Participant Muscle Stiffness Measure|Participant Muscle Stiffness Measure|Participant Muscle Stiffness Measure|Participant Single Leg Stance Body Sway Path Length|Participant Single Leg Stance Body Sway Path Length|Participant Single Leg Stance Body Sway Path Length|Participant Single Leg Stance Body Sway Path Length|Participant Single Leg Stance Body Sway Path Length|Participant Sit-to-Stand Velocity|Participant Sit-to-Stand Velocity|Participant Sit-to-Stand Velocity|Participant Sit-to-Stand Velocity|Participant Sit-to-Stand Velocity|Participant Pain Score - Visual Analogue Scale (VAS)|Participant Pain Score - Visual Analogue Scale (VAS)|Participant Pain Score - Visual Analogue Scale (VAS)|Participant Pain Score - Visual Analogue Scale (VAS)|Participant Pain Score - Visual Analogue Scale (VAS)|Participant Fatigue Score - 5 Item Modified Fatigue Impact Scale.|Participant Fatigue Score - 5 Item Modified Fatigue Impact Scale.,Participant Muscle Tone Measure|Participant Muscle Tone Measure|Participant Muscle Tone Measure|Participant Muscle Tone Measure|Participant Muscle Tone Measure|Participant Muscle Elasticity Measure|Participant Muscle Elasticity Measure|Participant Muscle Elasticity Measure|Participant Muscle Elasticity Measure|Participant Muscle Elasticity Measure|Participant Single Leg Stance Body Sway Anterior-Posterior Path Length|Participant Single Leg Stance Body Sway Anterior-Posterior Path Length|Participant Single Leg Stance Body Sway Anterior-Posterior Path Length|Participant Single Leg Stance Body Sway Anterior-Posterior Path Length|Participant Single Leg Stance Body Sway Anterior-Posterior Path Length|Participant Single Leg Stance Body Sway Medial-Lateral Path Length|Participant Single Leg Stance Body Sway Medial-Lateral Path Length|Participant Single Leg Stance Body Sway Medial-Lateral Path Length|Participant Single Leg Stance Body Sway Medial-Lateral Path Length|Participant Single Leg Stance Body Sway Medial-Lateral Path Length|Participant Single Leg Stance Body Sway Velocity|Participant Single Leg Stance Body Sway Velocity|Participant Single Leg Stance Body Sway Velocity|Participant Single Leg Stance Body Sway Velocity|Participant Single Leg Stance Body Sway Velocity|Participant Sit-to-Stand Rising Index|Participant Sit-to-Stand Rising Index|Participant Sit-to-Stand Rising Index|Participant Sit-to-Stand Rising Index|Participant Sit-to-Stand Rising Index|Participant Sit-to-Stand Weight Transfer|Participant Sit-to-Stand Weight Transfer|Participant Sit-to-Stand Weight Transfer|Participant Sit-to-Stand Weight Transfer|Participant Sit-to-Stand Weight Transfer,True,2024-01-05
NCT05438693,"Delayed Diagnosis of Multiple Sclerosis, Treatment Initiation and Non-adherence in Upper Egypt","Factors Affecting Time Elapsed From First Symptom Till Complete Diagnosis of Multiple Sclerosis, Initiation of Disease Modifying Treatment and Drug Adherence in Upper Egypt",COMPLETED,2020-06-01,2022-04-30,2022-06-01,2022-06-30,2022-06-30,OBSERVATIONAL,,80.0,ACTUAL,doaa mokhtar mahmoud,OTHER,,,"Multiple Sclerosis, Relapsing-Remitting",,Egypt,Qina,Qena Governorate,2,,,time to diagnosis of multiple sclerosis|time to disease modifying treatment initiation|rate of adherence to disease modifying treatment among MS patients,determine factors related to delayed diagnosis of MS|frequency of depression as a factor related to DMT adherence|frequency of fatigue as a factor related to DMT adherence|frequency of sleep disturbances as a factor related to DMT adherence|treatment satisfaction as a factor related to DMT adherence,False,
